goos: linux
goarch: amd64
pkg: blog-examples/compression-overview/dict
cpu: 12th Gen Intel(R) Core(TM) i5-12500
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14683811 ns/op	  74.61 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19843669 ns/op	  55.21 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19860951 ns/op	  55.17 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19882112 ns/op	  55.11 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19892137 ns/op	  55.08 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19835064 ns/op	  55.24 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19839541 ns/op	  55.22 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21168397 ns/op	  51.76 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21124312 ns/op	  51.87 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21121033 ns/op	  51.87 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21137558 ns/op	  51.83 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21124021 ns/op	  51.87 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=6       	     100	  21136742 ns/op	  51.84 MB/s	    300564 comp_bytes	         3.645 ratio	  141710 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      93	  22880978 ns/op	  47.88 MB/s	    299940 comp_bytes	         3.653 ratio	  227403 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      94	  22884488 ns/op	  47.88 MB/s	    299940 comp_bytes	         3.653 ratio	  225820 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      93	  22879336 ns/op	  47.89 MB/s	    299940 comp_bytes	         3.653 ratio	  227403 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      93	  22923588 ns/op	  47.79 MB/s	    299940 comp_bytes	         3.653 ratio	  227403 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      94	  22887768 ns/op	  47.87 MB/s	    299940 comp_bytes	         3.653 ratio	  225820 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=7       	      94	  22888168 ns/op	  47.87 MB/s	    299940 comp_bytes	         3.653 ratio	  225820 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      96	  24811885 ns/op	  44.16 MB/s	    299933 comp_bytes	         3.653 ratio	  353823 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      94	  25250686 ns/op	  43.39 MB/s	    299933 comp_bytes	         3.653 ratio	  359679 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      94	  25088518 ns/op	  43.67 MB/s	    299933 comp_bytes	         3.653 ratio	  359679 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      96	  24884564 ns/op	  44.03 MB/s	    299933 comp_bytes	         3.653 ratio	  353823 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      96	  24793062 ns/op	  44.19 MB/s	    299933 comp_bytes	         3.653 ratio	  353823 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=8       	      93	  25303572 ns/op	  43.30 MB/s	    299933 comp_bytes	         3.653 ratio	  362702 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      88	  26749888 ns/op	  40.96 MB/s	    299722 comp_bytes	         3.655 ratio	  571736 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      88	  26791272 ns/op	  40.90 MB/s	    299722 comp_bytes	         3.655 ratio	  571736 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      90	  26624308 ns/op	  41.15 MB/s	    299722 comp_bytes	         3.655 ratio	  560777 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      90	  26622168 ns/op	  41.15 MB/s	    299722 comp_bytes	         3.655 ratio	  560777 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      88	  26942905 ns/op	  40.66 MB/s	    299722 comp_bytes	         3.655 ratio	  571736 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=9       	      90	  26589439 ns/op	  41.21 MB/s	    299722 comp_bytes	         3.655 ratio	  560777 B/op	      24 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 760684717 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 760350367 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 761440964 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 761976083 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 760172977 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=10      	       3	 763485320 ns/op	   1.44 MB/s	    277377 comp_bytes	         3.950 ratio	  351104 B/op	       4 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1767541140 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1774619688 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1771547956 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1778038062 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1768949308 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=11      	       2	1771261284 ns/op	   0.62 MB/s	    271012 comp_bytes	         4.043 ratio	  526400 B/op	       7 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     441	   5400935 ns/op	 202.86 MB/s	    210755 comp_bytes	         5.199 ratio	   11861 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     442	   5409795 ns/op	 202.53 MB/s	    210755 comp_bytes	         5.199 ratio	   11834 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     442	   5410875 ns/op	 202.49 MB/s	    210755 comp_bytes	         5.199 ratio	   11834 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     442	   5407543 ns/op	 202.61 MB/s	    210755 comp_bytes	         5.199 ratio	   11834 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     445	   5385543 ns/op	 203.44 MB/s	    210755 comp_bytes	         5.199 ratio	   11754 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=1         	     442	   5406487 ns/op	 202.65 MB/s	    210755 comp_bytes	         5.199 ratio	   11834 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13501126 ns/op	  81.15 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13497681 ns/op	  81.17 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13502908 ns/op	  81.14 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13513430 ns/op	  81.08 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13508073 ns/op	  81.11 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=3         	     176	  13506602 ns/op	  81.12 MB/s	    203083 comp_bytes	         5.395 ratio	   65471 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      91	  25986662 ns/op	  42.16 MB/s	    190225 comp_bytes	         5.760 ratio	  191316 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      91	  26000899 ns/op	  42.14 MB/s	    190225 comp_bytes	         5.760 ratio	  191316 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      78	  26014186 ns/op	  42.12 MB/s	    190225 comp_bytes	         5.760 ratio	  223202 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      91	  25977970 ns/op	  42.18 MB/s	    190225 comp_bytes	         5.760 ratio	  191316 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      78	  26011065 ns/op	  42.12 MB/s	    190225 comp_bytes	         5.760 ratio	  223202 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=7         	      78	  25981895 ns/op	  42.17 MB/s	    190225 comp_bytes	         5.760 ratio	  223202 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 407227563 ns/op	   2.69 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 407362831 ns/op	   2.69 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 407939517 ns/op	   2.69 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 406359907 ns/op	   2.70 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 407530175 ns/op	   2.69 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=zstd/level=11        	       5	 406380293 ns/op	   2.70 MB/s	    180533 comp_bytes	         6.069 ratio	16038748 B/op	      13 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15316443 ns/op	  71.53 MB/s	    179609 comp_bytes	         6.100 ratio	   60855 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15298757 ns/op	  71.62 MB/s	    179609 comp_bytes	         6.100 ratio	   60820 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15306042 ns/op	  71.58 MB/s	    179609 comp_bytes	         6.100 ratio	   60820 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15293545 ns/op	  71.64 MB/s	    179609 comp_bytes	         6.100 ratio	   60820 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15308373 ns/op	  71.57 MB/s	    179609 comp_bytes	         6.100 ratio	   60820 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=3       	     156	  15302791 ns/op	  71.60 MB/s	    179609 comp_bytes	         6.100 ratio	   60820 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     134	  17708180 ns/op	  61.87 MB/s	    177098 comp_bytes	         6.187 ratio	   73305 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     134	  17711864 ns/op	  61.86 MB/s	    177098 comp_bytes	         6.187 ratio	   73305 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     134	  17715452 ns/op	  61.85 MB/s	    177098 comp_bytes	         6.187 ratio	   73305 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     134	  17712830 ns/op	  61.86 MB/s	    177098 comp_bytes	         6.187 ratio	   73305 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     134	  17796073 ns/op	  61.57 MB/s	    177098 comp_bytes	         6.187 ratio	   73305 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=4       	     132	  18195668 ns/op	  60.21 MB/s	    177098 comp_bytes	         6.187 ratio	   74416 B/op	       0 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      93	  23028541 ns/op	  47.58 MB/s	    172293 comp_bytes	         6.359 ratio	  134990 B/op	       6 allocs/op
